genotype,yield_t_ha,disease_score_1_9,days_to_maturity,vigor_score_1_9
AIBREED_G001,23.425,3.915,83.956,6.258
AIBREED_G002,25.173,3.38,82.336,7.373
AIBREED_G003,27.696,1.397,86.506,7.985
AIBREED_G004,22.865,4.071,83.207,7.516
AIBREED_G005,25.351,3.357,87.83,7.359
AIBREED_G006,24.599,3.282,84.501,7.794
AIBREED_G007,26.017,2.127,84.186,7.172
AIBREED_G008,25.805,2.332,81.912,7.231
AIBREED_G009,26.93,4.103,90.156,8.024
AIBREED_G010,22.946,4.044,85.854,6.25
AIBREED_G011,22.28,4.237,80.053,6.257
AIBREED_G012,21.433,3.058,82.134,7.266
AIBREED_G013,22.597,3.202,80.63,7.558
AIBREED_G014,24.239,2.68,84.431,6.269
AIBREED_G015,24.912,2.714,83.671,6.536
AIBREED_G016,23.033,3.43,85.326,6.582
AIBREED_G017,26.076,3.121,83.366,8.553
AIBREED_G018,23.897,2.391,85.35,7.503
AIBREED_G019,25.196,3.201,83.696,7.161
AIBREED_G020,22.469,3.643,80.143,7.91
AIBREED_G021,26.486,2.234,82.016,7.738
AIBREED_G022,26.008,3.056,87.068,6.898
AIBREED_G023,24.383,3.296,82.159,7.33
AIBREED_G024,24.292,4.043,84.887,6.932
AIBREED_G025,25.331,1.849,82.36,6.302
AIBREED_G026,23.478,3.865,83.776,7.445
AIBREED_G027,24.08,3.675,85.772,7.529
AIBREED_G028,23.31,2.291,86.143,6.648
AIBREED_G029,24.494,2.48,82.776,7.704
AIBREED_G030,24.023,2.22,83.984,7.347
AIBREED_G031,23.608,4.548,85.641,7.278
AIBREED_G032,23.067,2.594,79.324,7.331
AIBREED_G033,23.494,3.358,86.308,5.919
AIBREED_G034,25.482,2.462,84.24,8.018
AIBREED_G035,23.618,3.308,80.458,6.909
AIBREED_G036,25.342,2.359,86.324,7.378
AIBREED_G037,24.384,3.306,81.55,7.192
AIBREED_G038,25.876,2.039,84.382,8.383
AIBREED_G039,25.558,4.563,85.536,7.505
AIBREED_G040,24.702,3.227,82.673,7.626
AIBREED_G041,25.501,4.203,87.318,7.721
AIBREED_G042,25.932,3.28,86.721,7.43
AIBREED_G043,23.82,3.3,83.387,7.451
AIBREED_G044,24.11,3.804,83.171,7.604
AIBREED_G045,24.917,4.56,83.414,7.926
AIBREED_G046,22.661,2.363,85.456,7.241
