marker,standardized_effect,absolute_effect
M003,0.59554,0.59554
M015,0.46033,0.46033
M052,0.37419,0.37419
M010,0.35254,0.35254
M026,0.34883,0.34883
M066,0.32454,0.32454
M039,-0.27646,0.27646
M072,0.14045,0.14045
M062,0.13263,0.13263
M057,-0.11538,0.11538
M029,0.10765,0.10765
M017,0.10709,0.10709
M049,0.10488,0.10488
M063,0.0965,0.0965
M068,0.09074,0.09074
M070,0.08284,0.08284
M064,0.08031,0.08031
M013,-0.07685,0.07685
M051,0.07626,0.07626
M042,-0.07262,0.07262
M022,0.0682,0.0682
M034,-0.06329,0.06329
M047,-0.06101,0.06101
M033,0.05286,0.05286
M008,-0.0507,0.0507
M050,-0.04565,0.04565
M018,-0.0456,0.0456
M045,-0.04483,0.04483
M027,0.04058,0.04058
M037,-0.04005,0.04005
M041,0.03959,0.03959
M038,-0.0392,0.0392
M004,-0.03911,0.03911
M025,0.03668,0.03668
M016,0.03562,0.03562
M007,0.03483,0.03483
M056,-0.0333,0.0333
M044,-0.03161,0.03161
M046,-0.03102,0.03102
M011,0.03065,0.03065
M054,-0.03051,0.03051
M043,0.02781,0.02781
M065,-0.02751,0.02751
M005,0.02685,0.02685
M030,0.02664,0.02664
M048,0.02608,0.02608
M014,0.02474,0.02474
M002,-0.02313,0.02313
M021,0.02258,0.02258
M059,-0.02023,0.02023
M053,0.01997,0.01997
M060,-0.01995,0.01995
M028,-0.01885,0.01885
M012,0.01824,0.01824
M032,-0.01691,0.01691
M023,0.01675,0.01675
M020,0.01632,0.01632
M040,-0.01537,0.01537
M019,0.01275,0.01275
M035,0.01253,0.01253
M031,-0.01228,0.01228
M009,-0.0119,0.0119
M024,-0.0119,0.0119
M055,0.01178,0.01178
M071,0.0099,0.0099
M006,0.00726,0.00726
M036,0.0063,0.0063
M069,0.00576,0.00576
M061,-0.00568,0.00568
M058,-0.00454,0.00454
M001,0.00287,0.00287
M067,-0.00218,0.00218
