genotype,observed_yield_t_ha,predicted_yield_t_ha,predicted_disease_score_1_9,predicted_days_to_maturity,predicted_vigor_score_1_9,ai_selection_index
AIBREED_G062,25.941,26.266,2.512,81.103,8.482,0.8367
AIBREED_G003,27.696,27.103,1.648,86.336,7.805,0.8287
AIBREED_G017,26.076,25.777,3.049,82.613,8.651,0.7519
AIBREED_G038,25.876,25.533,1.972,84.295,8.278,0.7483
AIBREED_G008,25.805,26.218,2.558,81.736,7.494,0.7413
AIBREED_G073,26.154,26.328,2.784,84.35,7.879,0.7263
AIBREED_G021,26.486,25.988,2.331,83.126,7.555,0.7214
AIBREED_G065,25.865,25.778,2.941,84.952,8.404,0.704
AIBREED_G051,25.397,25.354,2.608,83.335,8.163,0.6969
AIBREED_G088,25.905,25.502,2.686,83.052,7.921,0.6887
AIBREED_G091,26.433,26.403,3.156,84.231,7.39,0.6705
AIBREED_G007,26.017,26.05,2.417,84.607,7.122,0.6638
